ID,titles,issue,volume
4589,Examination of the Factorial Validity of the Group Environment Questionnaire,3,65
4590,Developing an Optimal Scoring System with a Special Emphasis on Volleyball,3,65
4591,Effects of Bandwidth Goals and Bandwidth Knowledge of Results on Motor Learning,3,65
4592,Effects of a Learning Model and Augmented Feedback on Tennis Skill Acquisition,3,65
4593,"For Young Jumpers, Differences are in the Movement's Control, Not its Coordination",3,65
4594,Teaching within a Curricular Zone of Safety: School Culture and the Situated Nature of Student Teachers' Pedagogical Content Knowledge,3,65
4595,Factors Affecting the Intention-Physical Activity Relationship: Intention versus Expectation and Scale Correspondence,3,65
4596,A Reconsideration of the Trials-Delay of Knowledge of Results Paradigm in Motor Skill Learning,3,65
4597,Effects of Small Errors in Electrode Placement on Body Composition Assessment by Bioelectrical Impedance,3,65
4598,The Original Table of Contents and Editorial Board,3,65
4599,"A Long and Productive Career: Franklin M. Henry–Scientist Mentor, Pioneer",4,65
4600,The Effect of Trunk Angle on Power Production in Cycling,4,65
4601,Effects of Physical Guidance and Knowledge of Results on Motor Learning: Support for the Guidance Hypothesis,4,65
4602,The Effects of Erroneous Knowledge of Results on Transfer of Anticipation Timing,4,65
4603,The Contextual Interference Effect for Skill Variations from the Same and Different Generalized Motor Programs,4,65
4604,Long Slow Distance Training in Novice Marathoners,4,65
4605,Psychological Consequences of Athletic Injury among High-Level Competitors,4,65
4606,Psychosocial Predictors of Goal Orientations in Youth Soccer,4,65
4607,The Reporting and Analysis of Research Findings for Within–Subject Designs: Methodological Issues for Meta–Analysis,4,65
4608,The Relationship of Self-Efficacy and Perceived Well-Being to Physical Activity and Stair Climbing in Older Adults,4,65
4609,Perceived Exertion and Affect at Varying Intensities of Running,4,65
4610,The Relative Age Phenomenon in Sport: A Replication and Extension with Ice-Hockey Players,4,65
4611,A Preliminary Study of Misclassification of Blood Cholesterol Levels in an Adolescent Population,4,65
4612,Physiological Effects of Deep Water Running following a Land-Based Training Program,4,65
4613,Book Reviews,4,65
4614,The Original Table of Contents and Editorial Board,4,65
4615,Editor's Viewpoint: Do You Know the Way to San José?,1,66
4616,A Comparison of Grip Strength and Selected Psychomotor Performance Measures in Healthy and Frail Elderly Females,1,66
4617,The Effects of Augmented Information on Motor Learning: A Multidimensional Assessment,1,66
4618,Imaging Goal-Directed Movement,1,66
4619,"Skill-Related Task Structures, Explicitness, and Accountability: Relationships with Student Achievement",1,66
4620,Teachers' Value Orientations in Urban and Rural School Settings,1,66
4621,Effects of Goal-Setting Interventions on Selected Basketball Skills: A Single-Subject Design,1,66
4622,Brain Slow Potentials Reflecting Successful Shooting Performance,1,66
4623,The Paradox of the Contented Working Woman in Intercollegiate Athletics Administration,1,66
4624,Allometric Scaling of Grip Strength by Body Mass in College-Age Men and Women,1,66
4625,The Effects of a Physical Fitness Program on Low-Fit Children,1,66
4626,The Original Table of Contents and Editorial Board,1,66
4627,The Original Table of Contents and Editorial Board,2,66
4628,Editor's Viewpoint: State of the Journal,2,66
4629,Multi-Sample Confirmatory Factor Analysis of the Task and Ego Orientation in Sport Questionnaire,2,66
4630,Using Bandwidth Knowledge of Results to Alter Relative Frequencies During Motor Skill Acquisition,2,66
4631,The Effects of Visual and Auditory Models on the Learning of a Rhythmical Synchronization Dance Skill,2,66
4632,Examining the Personal Experience of Student Skill Learning: A Narrative Perspective,2,66
4633,The Role of Proletarianization in Physical Education Teacher Attrition,2,66
4634,Attentional Strategy Use by Experienced Distance Runners: Physiological and Psychological Effects,2,66
4635,"“I Have a Soul That Dances Like Tina Turner, but My Body Can't”: Physical Activity and Women With Mobility Impairments",2,66
4636,A New Technology and Field Test of Advance Cue Usage in Volleyball,2,66
4637,Predicting Muscular Strength in Women: A Preliminary Study,2,66
4638,Outstanding Research Writing Award,3,66
4639,On Becoming Skillful: Patterns and Constraints,3,66
4640,Children's Activity Levels and Lesson Context during Third-Grade Physical Education,3,66
4641,Expert-Novice Differences in Cognitive and Skill Execution Components of Youth Baseball Performance,3,66
4642,The Validity of the Tritrac-R3D Activity Monitor for the Assessment of Physical Activity in Children,3,66
4643,The Manipulation of Vision during the Powerlift Squat: Exploring the Boundaries of the Specificity of Learning Hypothesis,3,66
4644,Value Orientations of Preservice Teachers,3,66
4645,"The Effects of Cadence, Impact, and Step on Physiological Responses to Aerobic Dance Exercise",3,66
4646,Physiological and Perceived Exertion Responses to Six Modes of Submaximal Exercise,3,66
4647,Fair Play for Kids: Effects on the Moral Development of Children in Physical Education,3,66
4648,Relationships of Age and Muscle Mass to Peak Torque in High School Wrestlers,3,66
4649,Does Mental Practice Work like Physical Practice without Information Feedback?,3,66
4650,The Original Table of Contents and Editorial Board,3,66
4651,Introduction,4,66
4652,Participants,4,66
4653,Consensus Statement,4,66
4654,Summary Statements,4,66
4655,"Physical Activity and Health: Atherosclerotic, Metabolic, and Hypertensive Diseases",4,66
4656,Exercise and Physical Health: Musculoskeletal Health and Functional Capabilities,4,66
4657,Exercise and Physical Health: Cancer and Immune Function,4,66
4658,Exercise and Psychosocial Health,4,66
4659,"Physical Activity, Health, and Well-Being at Different Life Stages",4,66
4660,Descriptive Epidemiology of Health-Related Physical Activity and Fitness,4,66
4661,Physical Activity and Health: Dose-Response Issues,4,66
4662,Exercise Behavior and Strategies for Intervention,4,66
4663,The Original Table of Contents and Editorial Board,4,66
4664,"Thomas K. Cureton, Jr.: Pioneer Researcher, Proselytizer, and Proponent for Physical Fitness",1,67
4665,Predicting Self-Esteem from Perceptions of Actual and Ideal Ratings of Body Fatness: Is There Only One Ideal “Supermodel”?,1,67
4666,Many-Faceted Rasch Calibration of a Gross Motor Instrument,1,67
4667,The Benefits of Random Variable Practice for Spatial Accuracy and Error Detection in a Rapid Aiming Task,1,67
4668,Ensenanzas en un Gimnasio: An Investigation of Modeling and Verbal Rehearsal on the Motor Performance of Hispanic Limited English Proficient Children,1,67
4669,Practice Schedule Effects on the Performance and Learning of Low- and High-Skilled Students: An Applied Study,1,67
4670,The Contextual Interference Effect in Parameter Modifications of the Same Generalized Motor Program,1,67
4671,Specificity of Learning and Dynamic Balance,1,67
4672,Toward a Conceptual Understanding of the Flow Experience in Elite Athletes,1,67
4673,EEG Power Spectral Densities during and after Cycle Ergometer Exercise,1,67
4674,Stride Adjustments during a Running Approach toward a Force Plate,1,67
4675,Aerobic Demand of Running Shoes Designed to Exploit Energy Storage and Return,1,67
4676,The Visual Instruction System,1,67
4677,The Effect of Exercise on the Decision-Making Performance of Experienced and Inexperienced Soccer Players,1,67
4678,Reliability of the Prudential FITNESSGRAM™ Trunk Lift Test in Young Adults,1,67
4679,The Original Table of Contents and Editorial Board,1,67
4680,The Modern Olympic Games: New Interpretations and Perspectives,2,67
4681,"Pierre de Coubertin's Olympic Exploration of Modernism, 1894–1914: Aesthetics, Ideology and the Spectacle",2,67
4682,On the Structural Origins of Olympic Individuality,2,67
4683,"Resistance, Persistence, Providence: The 1932 Los Angeles Olympic Games in Perspective",2,67
4684,A House Divided: The U.S. Amateur Sport Establishment and the Issue of Participation in the 1936 Berlin Olympics,2,67
4685,"African American Women Olympians: The Impact of Race, Gender, and Class Ideologies, 1932–1968",2,67
4686,The IOC and the Status of Women in the Olympic Movement: 1972–1996,2,67
4687,How Much Physical Activity Should We Do? The Case for Moderate Amounts and intensities of Physical Activity,2,67
4688,How Much Physical Activity is Optimal for Health? Methodological Considerations,2,67
4689,How Much Physical Activity Do We Need to Maintain Health and Prevent Disease? Different Diseases-Different Mechanisms,2,67
4690,Physical Activity for a Healthy Life,2,67
4691,Exercise versus Heart Attack: Questioning the Consensus?,2,67
4692,Relationship between a 14-Day Recall Measure of Leisure-Time Physical Activity and a Submaximal Test of Physical Work Capacity in a Population Sample of Australian Adults,2,67
4693,The Task and Ego Orientation in Sport Questionnaire: Construct Equivalence and Mean Differences across Gender,2,67
4694,Optimal Length for Summary Knowledge of Results: The Influence of Task-Related Experience and Complexity,2,67
4695,The Original Table of Contents and Editorial Board,2,67
4696,Physical Self Description Questionnaire: Stability and Discriminant Validity,3,67
4697,The Task Difficulty of Free Throw Shooting for Males and Females,3,67
4698,Changes in Electroencephalographic Activity Associated with Learning a Novel Motor Task,3,67
4699,The Influence of Summary Knowledge of Results and Aging on Motor Learning,3,67
4700,Rhythmicity and Preperformance Ritual: Stabilizing a Flexible System,3,67
4701,Children Learning Lacrosse from Teachers Learning to Teach it: The Discovery of Pedagogical Content Knowledge by Observing Children's Movement,3,67
4702,The Physiologic Response of Exercising in the Water and on Land with and without the X1000 Walk 'N Tone Exercise Belt,3,67
4703,Attraction to Physical Activity in Urban Schoolchildren: Parental Socialization and Gender Influences,3,67
4704,"Relationships among Children's Beliefs, Perceptions of Their Parents' Beliefs, and Their Moderate-to-Vigorous Physical Activity",3,67
4705,Social Loafing and Identifiability: The Mediating Role of Achievement Goal Orientations,3,67
4706,The Reliability of Aerobic Capacity (VO2max) Testing in Adolescent Girls,3,67
4707,On the Interaction of Concurrent Verbal and Manual Tasks: Which Initial Task Conditions Produce Interference?,3,67
4708,Effects of the Instructional Set in the Bandwidth Feedback Paradigm on Motor Skill Acquisition,3,67
4709,Readability of Written Informed Consent Forms Used in Exercise and Sport Psychology Research,3,67
4710,Should Total Scores from a Rating Scale Be Used Directly?,3,67
4711,The Original Table of Contents and Editorial Board,3,67
4712,Stretch Shorten Cycle Performance: Detrimental Effects of Not Equating the Natural and Movement Frequencies,4,67
4713,"Sports, Exercise, and other Causes of Injuries: Results of a Population Survey",4,67
4714,Knowledge Representation and Problem Solution in Expert and Novice Youth Baseball Players,4,67
4715,Testing the Simplex Assumption Underlying the Sport Motivation Scale: A Structural Equation Modeling Analysis,4,67
4716,"Development, Application, and Limitation of a Stochastic Markov Model in Explaining Championship Squash Performance",4,67
4717,Delayed Visual Feedback While Learning to Track a Moving Target,4,67
4718,Student Interest in Activities in a Secondary Physical Education Curriculum: An Analysis of Student Subjectivity,4,67
4719,Exploring Practical Knowledge: A Case Study of an Experienced Senior Tennis Performer,4,67
4720,The Validity and Reliability of the Back Saver Sit-and-Reach Test in Middle School Girls and Boys,4,67
4721,Alternative Approach to Maximal Exercise Testing and VO2max Prediction in College Students,4,67
4722,Optimal Movement Pattern Characteristics are Not Required as a Reference for Knowledge of Performance,4,67
4723,The Energy Cost Associated with Selected Step Training Exercise Techniques,4,67
4724,The Effect of Adding External Weight on the Aerobic Requirement of Bench Stepping,4,67
4725,The Original Table of Contents and Editorial Board,4,67
4726,Three-Year Follow-up of Changes in Aerobic Fitness during Puberty: The Muscatine Study,1,68
4727,Sensitivity of Infants with and without down Syndrome to Intrinsic Dynamics,1,68
4728,On the Factorial and Construct Validity of the Intrinsic Motivation Inventory: Conceptual and Operational Concerns,1,68
4729,Planning Significant and Meaningful Research in Exercise Science: Estimating Sample Size,1,68
4730,Making Bootstrap Statistical Inferences: A Tutorial,1,68
4731,Learning versus Correct Models: Influence of Model Type on the Learning of a Free-Weight Squat Lift,1,68
4732,Factors Affecting the Creation of a New Ecology in a Boys-Only Physical Education Class at a Military School,1,68
4733,Effects of an Aerobic Activity Program on the Cholesterol Levels of Adolescents,1,68
4734,Resistance Training in Children and Youth: A Meta-Analysis,1,68
4735,Reproduction and Resistance to the Culture of Femininity and Masculinity in Secondary School Physical Education,1,68
4736,Modeled Timing Information during Random Practice Eliminates the Contextual Interference Effect,1,68
4737,"Cognitive Processes Related to Contextual Interference and Observational Learning: A Replication of Blandin, Proteau, and Alain (1994)",1,68
4738,Serum Lipoprotein Patterns in Long-Term Anabolic Steroid Users,1,68
4739,The Original Table of Contents and Editorial Board,1,68
4740,Relative Contributions to the Net Joint Moment for a Planar Multijoint Throwing Skill: Early and Late in Practice,2,68
4741,A Multilevel Analysis of School Factors Associated with Health-Related Fitness,2,68
4742,Recalling Demonstrated and Guided Movements Using Imaginary and Verbal Rehearsal Strategies,2,68
4743,The Effect of Knowledge of Results Delay and the Subjective Estimation of Movement Form on the Acquisition and Retention of a Motor Skill,2,68
4744,Development of an Instrument to Assess Cognitive Processes in Physical Education Classes,2,68
4745,The Physiological Responses to Walking with and without Power Poles™ on Treadmill Exercise,2,68
4746,Summary Knowledge of Results and Task Processing Load,2,68
4747,How Close is Too Close for Precise Knowledge of Results?,2,68
4748,Running Economy: Comparison of Body Mass Adjustment Methods,2,68
4749,The Original Table of Contents and Editorial Board,2,68
4750,"G. Lawrence Rarick: Gentleman, Scholar, and Consummate Professional",3,68
4751,Physical Activity Levels and Prompts in Young Children at Recess: A Two-Year Study of a Bi-Ethnic Sample,3,68
4752,"The Development of Sport-Specific Planning, Rehearsal, and Updating of Plans during Defensive Youth Baseball Game Performance",3,68
4753,Applying Bandwidth Feedback Scheduling to a Golf Shot,3,68
4754,Description and Effects of Sequential Behavior Practice in Teacher Education,3,68
4755,Creatine Supplementation Enhances Intermittent Work Performance,3,68
4756,Correlates of Physical Activity Behavior in Rural Youth,3,68
4757,Validity of the Children and Youth Physical Self-Perception Profile: A Confirmatory Factor Analysis,3,68
4758,Erratum,3,68
4759,The Original Table of Contents and Editorial Board,3,68
4760,Validation of a Questionnaire to Assess Physical Activity of Children Ages 4–8 Years,4,68
4761,Maximizing Performance Feedback Effectiveness through Videotape Replay and a Self-Controlled Learning Environment,4,68
4762,Long-Term Effects of a Physical Education Curriculum and Staff Development Program: SPARK,4,68
4763,Physical Activity as a Natural Antioxidant Booster and its Effect on a Healthy Life Span,4,68
4764,Measuring Fatigue Relative to Peak Power Output during High-Intensity Cycle Sprinting,4,68
4765,Development of a Cadence Curl-Up Test for College Students,4,68
4766,Goal Orientation and the Modeling Process: An Individual's Focus on Form and Outcome,4,68
4767,A Developmental Examination of Children's Understanding of Effort and Ability in the Physical and Academic Domains,4,68
4768,Assessing Perceived Physical Environmental Variables that May Influence Physical Activity,4,68
4769,Refining the Value Orientation Inventory,4,68
4770,A Comparison of Three Practice Schedules along the Contextual Interference Continuum,4,68
4771,Instructions about Physical Principles in Learning a Complex Motor Skill: To Tell or Not to Tell…,4,68
4772,An Analysis of Playground Surface Injuries,4,68
4773,Erratum,4,68
4774,The Original Table of Contents and Editorial Board,4,68
4775,Changes in Throwing by Older Adults: A Longitudinal Investigation,1,69
4776,"Test Equating: What, Why, How?",1,69
4777,The Sports Inventory for Pain: A Confirmatory Factor Analysis,1,69
4778,Practice Effects on the Timing and Magnitude of Antagonist Activity during Ballistic Elbow Flexion to a Target,1,69
4779,Temporal and Spatial Adaptations during the Acquisition of a Reversal Movement,1,69
4780,Contextual Influences and Goal Perspectives among Female Youth Sport Participants,1,69
4781,Application of Generalizability Theory to Measurement of Activity in Males Who are Not Regularly Active: A Preliminary Report,1,69
4782,A Note on the Response Complexity Effect in Eye Movements,1,69
4783,A Test of Retroactive Inhibition as an Explanation of Contextual Interference,1,69
4784,Component Variability during Bimanual Rhythmic Movements: Not all Harmonic Timing Ratios are Alike,1,69
4785,Work Efficiency during Step Aerobic Exercise in Female Instructors and Noninstructors,1,69
4786,One-Mile Run Performance and Body Mass Index in Asian and Pacific Islander Youth: Passing Rates for the FITNESSGRAM,1,69
4787,An Empirical Evaluation of the Prediction of Maximal Heart Rate,1,69
4788,Effects of Proximity on the Choice to Be Physically Active or Sedentary,1,69
4789,The Original Table of Contents and Editorial Board,1,69
4790,Knowledge is More than We Can Talk about: Implicit Learning in Motor Skill Acquisition,2,69
4791,"Visual Search Strategy, Selective Attention, and Expertise in Soccer",2,69
4792,The Effect of Nonregulatory Stimuli on the Triple Jump Approach Run,2,69
4793,Motor Performance and Motor Learning as a Function of Age and Fitness,2,69
4794,The Development of In-Service Teachers' Knowledge of a Constructivist Approach to Physical Education: Teaching beyond Activities,2,69
4795,Parental Beliefs and Children's Moderate-to-Vigorous Physical Activity,2,69
4796,"The Relationship between Competitive Anxiety, Achievement Goals, and Motivational Climates",2,69
4797,"Gender Differences in Preferences for Coaching as an Occupation: The Role of Self-Efficacy, Valence, and Perceived Barriers",2,69
4798,Nasal Strips and Mouthpieces Do Not Affect Power Output during Anaerobic Exercise,2,69
4799,A Modified Version of the Rockport Fitness Walking Test for College Men and Women,2,69
4800,Children's Age Moderates the Effect of Practice Variability: A Quantitative Review,2,69
4801,The Original Table of Contents and Editorial Board,2,69
4802,Effects of Tennis Practice on the Coincidence Timing Accuracy of Adults and Children,3,69
4803,Relative Frequency of Knowledge of Performance and Motor Skill Learning,3,69
4804,The Development of Self-Perceptions of Ability and Achievement Goals and Their Relations in Physical Education,3,69
4805,Innovation in Two Alternative Elementary School Programs: Why it Works,3,69
4806,Practical Knowledge in Expert Coaches: On-Site Study of Coaching in Sailing,3,69
4807,Students' Perceptions of the Physical Education Class Environment for Boys and Girls and the Perceived Motivational Climate,3,69
4808,Confirmatory Factor Analysis of the Task and Ego Orientation in Sport Questionnaire with Cross-Validation,3,69
4809,Specificity of Practice: The Case of Powerlifting,3,69
4810,New Frontiers in Visual Search: An Exploratory Study in Live Tennis Situations,3,69
4811,"Prediction of VO2max Before, during, and after 16 Weeks of Endurance Training",3,69
4812,Reliability of a Protocol for Testing Endurance Performance in Runners and Cyclists,3,69
4813,"Comments on “Development of a Cadence Curl-Up Test for College Students” (Sparling, Millard-Stafford, & Snow, 1997): Concerns about Validity and Practicality",3,69
4814,Curl-Up Testing in College Students: Validity and Practicality of a Field Test—A Reply to Zhu's (1998) Commentary,3,69
4815,Errata,3,69
4816,The Original Table of Contents and Editorial Board,3,69
4817,Editor-in-Chief Comment: Hot Topics Feature,4,69
4818,Hot Topics in Motor Control and Learning: Introduction,4,69
4819,Hot Topics in Motor Control and Learning,4,69
4820,Hot Topics in Motor Control and Learning,4,69
4821,Hot Topics in Motor Control and Learning,4,69
4822,The Reliability and Validity of a Chair Sit-and-Reach Test as a Measure of Hamstring Flexibility in Older Adults,4,69
4823,Bilateral Reaching to Asymmetrical Targets: Muscle and Joint Dynamic Interlimb Adaptations,4,69
4824,Mass and Velocity: Control Parameters for Throwing Patterns,4,69
4825,Skill and Tactical Development during a Sport Education Season,4,69
4826,Observational Learning and the Fearful Child: Influence of Peer Models on Swimming Skill Performance and Psychological Responses,4,69
4827,The Validity of the Tritrac-R3D Activity Monitor for the Assessment of Physical Activity: II. Temporal Relationships among Objective Assessments,4,69
4828,Analysis of Event-Related Potentials to Filmed Action Situations,4,69
4829,Attentional Demands and the Organization of Reaching Movements in Rock Climbing,4,69
4830,Acute Muscle Stretching Inhibits Maximal Strength Performance,4,69
4831,A Test of the Reliability and Factorial Validity of the Greek Version of the CSAI-2,4,69
4832,"Task Structures, Feedback to Individual Students, and Student Skill Level in Physical Education",4,69
4833,The Original Table of Contents and Editorial Board,4,69
4834,Evaluation of a University Course to Promote Physical Activity: Project GRAD,1,70
4835,A Generalized Rank-Order Method for Nonparametric Analysis of Data from Exercise Science: A Tutorial,1,70
4836,The Effects of Different Knowledge of Results Spacing and Summarizing Techniques on the Acquisition of a Ballistic Movement,1,70
4837,The Role of Reduced Frequency of Knowledge of Results during Constant Practice,1,70
4838,The “Professional” Work of Experienced Physical Education Teachers,1,70
4839,The Effectiveness of the Canadian Quality Daily Physical Education Program on School Physical Education,1,70
4840,Description and Process Evaluation of a Physical Training Program for Obese Children,1,70
4841,MINI-LOGGER® Reliability and Validity for Estimating Energy Expenditure and Heart Rate in Adolescents,1,70
4842,A Comparison of Peak Heart Rates Elicited by the 1-Mile Run/Walk and the Progressive Aerobic Cardiovascular Endurance Run,1,70
4843,Bandwidth Knowledge of Results Enhances Generalized Motor Program Learning,1,70
4844,Hrdlicka (1931) Revisited: Children Who Run on all Fours,1,70
4845,The Original Table of Contents and Editorial Board,1,70
4846,"Edwin Bancroft Henderson: Physical Educator, Civil Rights Activist, and Chronicler of African American Athletes",2,70
4847,A 30-s Chair-Stand Test as a Measure of Lower Body Strength in Community-Residing Older Adults,2,70
4848,The Learning Advantages of an External Focus of Attention in Golf,2,70
4849,Effects of Health-Related Physical Education on Academic Achievement: Project SPARK,2,70
4850,Techniques of Body Composition Assessment: A Review of Laboratory and Field Methods,2,70
4851,Effect of Body Composition on Oxygen Uptake during Treadmill Exercise: Body Builders versus Weight-Matched Men,2,70
4852,Sport Injury and Illness: Elite Skiers Describe Their Experiences,2,70
4853,Four-Year Changes in College Athletes' Ethical Value Choices in Sports Situations,2,70
4854,"Individual Differences, Perceived Task Characteristics, and Preferences for Teaching and Coaching",2,70
4855,Planning and Executing Fast Movement Sequences: A Comparison of Speech and Handwriting,2,70
4856,Aerobic Dance and Physical Self-Perceptions in Female Adolescents: Some Implications for Physical Education,2,70
4857,Does Participation in a Structured High-Intensity Exercise Program Influence Daily Physical Activity Patterns in Older Adults?,2,70
4858,The Effect of Temporal and Informational Constraints on One-Handed Catching Performance,2,70
4859,The Original Table of Contents and Editorial Board,2,70
4860,Detecting Bouts of Physical Activity in a Field Setting,3,70
4861,Manipulating Visual Informational Constraints during Practice Enhances the Acquisition of Catching Skill in Children,3,70
4862,Expert-Novice Differences in Performance Skills and Problem Representations of Youth and Adults during Tennis Competition,3,70
4863,Spatial Assimilation Effects and Error Detection in Rapid Overlapping and Sequential Bimanual Movements,3,70
4864,Physical Assistance Devices in Complex Motor Skill Learning: Benefits of a Self-Controlled Practice Schedule,3,70
4865,Creating a Sense of Family in Urban Schools Using the “Sport for Peace” Curriculum,3,70
4866,"An Investigation into Teaching Games for Understanding: Effects on Skill, Knowledge, and Game Play",3,70
4867,The Relationship between Salivary Adrenocortical Hormones Changes and Personality in Elite Female Athletes during Handball and Volleyball Competition,3,70
4868,"Women, Disability, and Sport and Physical Fitness Activity: The Intersection of Gender and Disability Dynamics",3,70
4869,Can the Anticipatory Skills of Experts Be Learned by Novices?,3,70
4870,Home and Recess Physical Activity of Hong Kong Children,3,70
4871,The Original Table of Contents and Editorial Board,3,70
4872,"Frances Anna Hellebrandt: Physician, Mentor, and Pioneer in Exercise Physiology",4,70
4873,Neuromuscular Control Mechanisms and Strategy in Arm Movements of Attempted Supranormal Speed,4,70
4874,Intercepting Moving Objects during Self-Motion: Effects of Environmental Changes,4,70
4875,The Effect of Submaximal Exercise on Recovery Hemodynamics and Thermoregulation in Men and Women,4,70
4876,Tactical Differences in Problem Representations and Solutions in Collegiate Varsity and Beginner Female Tennis Players,4,70
4877,The Effects of ENDUROXTM on the Physiological Responses to Stair-Stepping Exercise,4,70
4878,"Knowledge and Attitudes Related to Diabetes and Exercise Guidelines among Selected Diabetic Children, Their Parents, and Physical Education Teachers",4,70
4879,Characteristics of Maxiflex® Model B Springboards Revisited,4,70
4880,Comparison of the Criterion-Related Validity of Sit-and-Reach Tests with and without Limb Length Adjustment in Asian Adults,4,70
4881,The Original Table of Contents and Editorial Board,4,70
4882,"1999 C. H. McCloy Research Lecture: Children's Control, Learning, and Performance of Motor Skills",1,71
4883,Optimizing Generalized Motor Program and Parameter Learning,1,71
4884,Teaching Responsibility through Sport Education: Prospects of a Coalition,1,71
4885,"Assessment of Physical Activity with the Computer Science and Applications, Inc., Accelerometer: Laboratory versus Field Validation",1,71
4886,Effects of Uncontrollability and Failure on the Development of Learned Helplessness in Perceptual-Motor Tasks,1,71
4887,Differences in Self-Reported Rationale for Perceived Increases in Physical Activity by Ethnicity and Gender,1,71
4888,Physical Activity Participation of High School Graduates following Exposure to Conceptual or Traditional Physical Education,1,71
4889,Effects of Postural Constraints on Children's Catching Behavior,1,71
4890,Resting Frontal Asymmetry Predicts Self-Selected Walking Speed but Not Affective Responses to a Short Walk,1,71
4891,Teachers' Attitudes toward Teaching Physical Activity and Fitness,1,71
4892,Students' Precision and Interobserver Reliability of Performance Assessment in Team Sports,1,71
4893,Developmental Kinematics of Young Girls' Overarm Throwing,1,71
4894,The Original Table of Contents and Editorial Board,1,71
4895,“Time Given Freely to Worthwhile Causes:” Anna S. Espenschade's Contributions to Physical Education1,2,71
4896,Understanding Physical Activity Intention in Canadian School Children and Youth: An Application of the Theory of Planned Behavior,2,71
4897,Validation of Criterion-Referenced Standards for the Mile Run and Progressive Aerobic Cardiovascular Endurance Tests,2,71
4898,Learning and Remembering Strategies of Novice and Advanced Jazz Dancers for Skill Level Appropriate Dance Routines,2,71
4899,A Review of the Literature on the Application of Blood Ammonia Measurement in Sports Science,2,71
4900,Physical Fitness of Adults with an Intellectual Disability: A 13-Year Follow-up Study,2,71
4901,The Effect of a Psyching Strategy on Neuromuscular Activation and Force Production in Strength-Trained Men,2,71
4902,Testing Relationships from the Hierarchical Model of Intrinsic and Extrinsic Motivation Using Flow as a Motivational Consequence,2,71
4903,Influence of Arm Position and Lung Volume on the Center of Buoyancy of Competitive Swimmers,2,71
4904,Which Should it Be Called: Convergent Validity or Discriminant Validity?,2,71
4905,Adaptation in the Timing of Catching under Changing Environmental Constraints,2,71
4906,Male and Female Differences and the Specificity of Fatigue on Skill Acquisition and Transfer Performance,2,71
4907,The Original Table of Contents and Editorial Board,2,71
4908,Leisure Time Physical Activity in Australian Women: Relationship with Well Being and Symptoms,3,71
4909,Practicing a Maximal Performance Task: A Cooperative Strategy for Muscle Activity,3,71
4910,Attentional Focus in Complex Skill Learning,3,71
4911,Restricting Opportunities to Be Active during School Time: Do Children Compensate by Increasing Physical Activity Levels after School?,3,71
4912,"Student Activity Levels, Lesson Context, and Teacher Behavior during Middle School Physical Education",3,71
4913,The Effects of Repeated Maximal Voluntary Isokinetic Eccentric Exercise on Recovery from Muscle Damage,3,71
4914,Predictors of Intrinsic Motivation among Adolescent Students in Physical Education,3,71
4915,The Relation of Self-Efficacy Measures to Sport Performance: A Meta-Analytic Review,3,71
4916,(Un)Informed Consent in Exercise and Sport Science Research? A Comparison of Forms Written for Two Reading Levels,3,71
4917,"Preparticipation Physical Activity Screening within a Racially Diverse, Older Adult Sample: Comparison of the Original and Revised Physical Activity Readiness Questionnaires",3,71
4918,"Activity Involvement, Goal Perspective, and Self-Esteem among Mexican American Adolescents",3,71
4919,Errata,3,71
4920,The Original Table of Contents and Editorial Board,3,71
4921,Enablers and Constraints to Walking for Older African American and American Indian Women: The Cultural Activity Participation Study,4,71
4922,Examination of the Validity of the Social Support Survey Using Confirmatory Factor Analysis,4,71
4923,Can Observational Practice Facilitate Error Recognition and Movement Production?,4,71
4924,Alterations in Bilateral Force Judgment following Strenuous Eccentric Exercise,4,71
4925,Effects of Modeled Auditory Information on a Sequential Timing Task,4,71
4926,Examination of Expert and Novice Teachers' Constructivist-Oriented Teaching Practices Using a Movement Approach to Elementary Physical Education,4,71
4927,An Investigation of the Dynamics of Aggression: Direct Observations in Ice Hockey and Basketball,4,71
4928,Motivation Profiles in Sport: A Self-Determination Theory Perspective,4,71
4929,The Benefits of Random Variable Practice for Accuracy and Temporal Error Detection in a Rapid Aiming Task,4,71
4930,The Acute Response of the Immune System to Tennis Drills in Adolescent Athletes,4,71
4931,Erratum,4,71
4932,The Original Table of Contents and Editorial Board,4,71
4933,Methodological Considerations for Researchers and Practitioners Using Pedometers to Measure Physical (Ambulatory) Activity,1,72
4934,"Individual Differences and Similarities in the Stability, Timing Consistency, and Natural Frequency of Rhythmic Coordinated Actions",1,72
4935,Perceptual Decision Making for Baseball Pitch Recognition: Using P300 Latency and Amplitude to Index Attentional Processing,1,72
4936,Manipulating Generalized Motor Program Difficulty during Blocked and Random Practice Does Not Affect Parameter Learning,1,72
4937,Training Patterns of Athletes during Pregnancy and Postpartum,1,72
4938,"Children's Self-Efficacy, Motivational Intentions, and Attributions in Physical Education and Sport",1,72
4939,Physical Self and Physical Activity Relationships in College Women: Does Social Physique Anxiety Moderate Effects?,1,72
4940,Using Principal Components Analysis to Identify Individual Differences in Vertical Jump Performance,1,72
4941,Inhibition of Maximal Voluntary Isometric Torque Production by Acute Stretching is Joint-Angle Specific,1,72
4942,"Effects of Aging, Grip Span, and Grip Style on Hand Strength",1,72
